ABCSE,B7J,2017-01-25,8.98,9.00,8.73,8.83,131500,8.83
ABCSE,B7J,2017-01-22,9.03,9.04,8.94,8.95,77800,8.95
KLUCSE,B8J,2017-01-21,9.06,9.13,8.98,9.04,102200,9.04
KLUCSE,B8J,2017-01-20,8.93,9.09,8.93,9.09,119300,9.09
KLUCSE,B8J,2017-01-19,8.99,9.04,8.91,9.02,132300,9.02
CSE,B9J,2017-01-15,8.98,9.00,8.90,8.99,78000,8.99
CSE,B9J,2017-01-25,8.98,9.00,8.73,8.83,131500,8.93
CSE,B9J,2017-01-22,9.03,9.04,8.94,8.95,77800,8.97
CSE,B9J,2017-01-21,9.06,9.13,8.98,9.04,102200,9.05
CSE,B9J,2017-01-20,8.93,9.09,8.93,9.09,119300,9.08
CSE,B9J,2017-01-19,8.99,9.04,8.91,9.02,132300,9.04
CSE,B9J,2017-01-15,8.98,9.00,8.90,8.99,78000,8.99
